Yet Filipinos themselves simply can not seem to imagine their leaders behind bars.	0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV PROPN PRON ADV VERB ADV VERB PART VERB ADJ NOUN ADP NOUN
Behind the empty and desolate bar, stood the solitary figure of Tim, the barman, calmly tearing up at least half - a - dozen pages of unpaid drinks in the name of Denis O'Neil.	1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP DET ADJ CCONJ ADJ NOUN VERB DET ADJ NOUN ADP PROPN DET NOUN ADV VERB PART ADV ADV ADJ PUNCT DET PUNCT NOUN NOUN ADP ADJ NOUN ADP DET NOUN ADP PROPN PROPN
' Ye handled him well, ' Pol said : the barman, with a swing, was back behind his bar again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	behind bars	literal	combined-inflection	PUNCT PROPN VERB PRON ADV PUNCT PROPN VERB PUNCT DET NOUN ADP DET NOUN VERB ADV ADP ADJ NOUN ADV
Within two weeks gang leader Michael McAvoy and Brian Robinson were behind bars after a suspect cracked.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	behind bars	figurative	identical	ADP NUM NOUN NOUN NOUN PROPN PROPN CCONJ PROPN PROPN VERB ADP NOUN ADP DET NOUN VERB
Silent Scream attempts to do the same for Larry Winters, a Glaswegian murderer who waxed poetic behind bars before topping himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	behind bars	figurative	identical	PROPN PROPN VERB PART VERB DET ADJ ADP PROPN PROPN DET ADJ NOUN NOUN VERB ADJ ADP NOUN ADP VERB PRON
When they returned Jenkins again led the way out into the side alley behind the bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	ADV PRON VERB PROPN ADV VERB DET NOUN PART ADP DET NOUN NOUN ADP DET NOUN
The last chime quivered away on the night air, and from somewhere behind the bar emerged the local hero, Miguelito the mystery man.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET ADJ NOUN VERB ADV ADP DET NOUN NOUN CCONJ ADP ADV ADP DET NOUN VERB DET ADJ NOUN PROPN DET NOUN NOUN
Now she will have to spend another three years behind bars instead of walking free in 11 months ' time.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADV PRON VERB VERB PART VERB DET NUM NOUN ADP NOUN ADV ADP VERB ADJ ADP NUM NOUN PART NOUN
The man behind the bar said something to him, probably a reminder, for he nodded, spoke to his wife, then with a quick look round the room, he left.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET NOUN ADP DET NOUN VERB NOUN ADP PRON ADV DET NOUN ADP PRON VERB VERB ADP ADJ NOUN ADV ADP DET ADJ NOUN ADP DET NOUN PRON VERB
A body of Dominican nuns lived next door to the Santuario in the deepest seclusion, and participated in the Masses hidden from view behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	literal	identical	DET NOUN ADP ADJ NOUN VERB ADJ NOUN ADP DET PROPN ADP DET ADJ NOUN CCONJ VERB ADP DET PROPN VERB ADP NOUN ADP NOUN
I booked the conference not realising it was gon na be the control room by this time, and then this morning I turned up to find out we can't put the lights on without getting behind the bar, and we can't get behind the bar so that's why this er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB DET NOUN ADV VERB PRON VERB VERB PART VERB DET NOUN NOUN ADP DET NOUN CCONJ ADV DET NOUN PRON VERB PART PART VERB PART PRON VERB VERB DET NOUN PART ADP VERB ADP DET NOUN CCONJ PRON VERB VERB ADP DET NOUN ADP DET ADV DET INTJ
