Scraping rock bottom	0 1 1	rock bottom	figurative	identical	VERB NOUN NOUN	▁Sc rap ing ▁rock ▁bottom	0 0 0 1 1	VERB VERB VERB NOUN NOUN
HOMES will fall another 15 per cent in value before they hit rock bottom, an influential City report has predicted.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	rock bottom	figurative	identical	PROPN VERB VERB DET NUM NOUN NOUN ADP NOUN ADP PRON VERB NOUN NOUN DET ADJ PROPN NOUN VERB VERB	▁H OME S ▁will ▁fall ▁another ▁15 ▁per ▁cent ▁in ▁value ▁before ▁they ▁hit ▁rock ▁bottom , ▁an ▁influent ial ▁City ▁report ▁has ▁predicted .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB DET NUM NOUN NOUN ADP NOUN ADP PRON VERB NOUN NOUN NOUN DET ADJ ADJ PROPN NOUN VERB VERB VERB
In the days of rock bottom underground pay, 20 was not to be sneezed at.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP DET NOUN ADP NOUN ADJ ADJ NOUN NUM VERB ADV PART VERB VERB ADP	▁In ▁the ▁days ▁of ▁rock ▁bottom ▁underground ▁pay , ▁20 ▁was ▁not ▁to ▁be ▁sn ee zed ▁at .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP NOUN ADJ ADJ NOUN NOUN NUM VERB ADV PART VERB VERB VERB VERB ADP ADP
It was a plain, basic, rock - bottom hatchback, but it would do fine for the distance and had the extra advantage of childproof locks on the rear doors.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PRON VERB DET ADJ ADJ NOUN PUNCT NOUN NOUN CCONJ PRON VERB VERB NOUN ADP DET NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN	▁It ▁was ▁a ▁plain , ▁basic , ▁rock ▁- ▁bottom ▁hatch back , ▁but ▁it ▁would ▁do ▁fine ▁for ▁the ▁distance ▁and ▁had ▁the ▁extra ▁advantage ▁of ▁child proof ▁locks ▁on ▁the ▁rear ▁doors .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ ADJ ADJ ADJ NOUN PUNCT NOUN NOUN NOUN NOUN CCONJ PRON VERB VERB NOUN ADP DET NOUN CCONJ VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET ADJ NOUN NOUN
I had finally hit rock - bottom, down there with the bums and dossers, unable even to pay my own way in Winston Street.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PRON VERB ADV VERB NOUN PUNCT NOUN ADV ADV ADP DET NOUN CCONJ NOUN ADJ ADV PART VERB ADJ ADJ NOUN ADP PROPN PROPN	▁I ▁had ▁finally ▁hit ▁rock ▁- ▁bottom , ▁down ▁there ▁with ▁the ▁bu ms ▁and ▁do s s ers , ▁unable ▁even ▁to ▁pay ▁my ▁own ▁way ▁in ▁Win s ton ▁Street .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB NOUN PUNCT NOUN NOUN ADV ADV ADP DET NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN ADJ ADV PART VERB ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN
Organised guided tours for the uninitiated and the last minute promotion of the multiples section, where the less well - off will have the opportunity to acquire first - class signed works at rock - bottom prices, might suggest that it is.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	rock bottom	figurative	dashes	VERB VERB NOUN ADP DET ADJ CCONJ DET ADJ NOUN NOUN ADP DET NOUN NOUN ADV DET ADV ADV PUNCT NOUN VERB VERB DET NOUN PART VERB ADJ PUNCT NOUN VERB NOUN ADP NOUN PUNCT NOUN NOUN VERB VERB ADP PRON VERB	▁Organis ed ▁ guided ▁to urs ▁for ▁the ▁un initiated ▁and ▁the ▁last ▁minute ▁promotion ▁of ▁the ▁multiple s ▁section , ▁where ▁the ▁less ▁well ▁- ▁off ▁will ▁have ▁the ▁opportunity ▁to ▁acquire ▁first ▁- ▁class ▁signed ▁works ▁at ▁rock ▁- ▁bottom ▁prices , ▁might ▁suggest ▁that ▁it ▁is .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	VERB VERB VERB VERB NOUN NOUN ADP DET ADJ ADJ CCONJ DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN NOUN ADV DET ADV ADV PUNCT NOUN VERB VERB DET NOUN PART VERB ADJ PUNCT NOUN VERB NOUN ADP NOUN PUNCT NOUN NOUN NOUN VERB VERB ADP PRON VERB VERB
It may lack a certain flair, it may have a garish badge, it may still be cheap and cheerful inside ( there are now some very attractive leather - look plastics about ) but it is proving to be a reliable, easy - to - drive family car with lots of equipment as standard and rock bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	rock bottom	figurative	identical	PRON VERB VERB DET ADJ NOUN PRON VERB VERB DET ADJ NOUN PRON VERB ADV VERB ADJ CCONJ ADJ ADV PUNCT ADV VERB ADV DET ADV ADJ NOUN PUNCT VERB NOUN ADP PUNCT CCONJ PRON VERB VERB PART VERB DET ADJ ADJ PUNCT ADP PUNCT VERB NOUN NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN NOUN NOUN	▁It ▁may ▁lack ▁a ▁certain ▁fl air , ▁it ▁may ▁have ▁a ▁gar ish ▁bad ge , ▁it ▁may ▁still ▁be ▁cheap ▁and ▁che er ful ▁inside ▁( ▁there ▁are ▁now ▁some ▁very ▁attractive ▁leather ▁- ▁look ▁plastics ▁about ▁ ) ▁but ▁it ▁is ▁proving ▁to ▁be ▁a ▁reliable , ▁easy ▁- ▁to ▁- ▁drive ▁family ▁car ▁with ▁lots ▁of ▁equipment ▁as ▁standard ▁and ▁rock ▁bottom ▁prices .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	PRON VERB VERB DET ADJ NOUN NOUN NOUN PRON VERB VERB DET ADJ ADJ NOUN NOUN NOUN PRON VERB ADV VERB ADJ CCONJ ADJ ADJ ADJ ADV PUNCT ADV VERB ADV DET ADV ADJ NOUN PUNCT VERB NOUN ADP PUNCT PUNCT CCONJ PRON VERB VERB PART VERB DET ADJ ADJ ADJ PUNCT ADP PUNCT VERB NOUN NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN NOUN NOUN NOUN
Thus it is possible to hit a spiritual " rock bottom " in addictive disease while still having employment, family and possessions : each person's disease and recovery is unique to him or her.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADV PRON VERB ADJ PART VERB DET ADJ PUNCT NOUN NOUN PUNCT ADP ADJ NOUN ADP ADV VERB NOUN NOUN CCONJ NOUN PUNCT DET NOUN NOUN CCONJ NOUN VERB ADJ ADP PRON CCONJ PRON	▁Thus ▁it ▁is ▁possible ▁to ▁hit ▁a ▁spiritual ▁" ▁rock ▁bottom ▁" ▁in ▁addict ive ▁disease ▁while ▁still ▁having ▁employment , ▁family ▁and ▁possession s ▁ : ▁each ▁person ' s ▁disease ▁and ▁recovery ▁is ▁unique ▁to ▁him ▁or ▁her .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB ADJ PART VERB DET ADJ PUNCT NOUN NOUN PUNCT ADP ADJ ADJ NOUN ADP ADV VERB NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT PUNCT DET NOUN NOUN NOUN NOUN CCONJ NOUN VERB ADJ ADP PRON CCONJ PRON PRON
The pressure is now on the likes of Hewlett - Packard Co and IBM Corp to get ultra - cheap versions of their RISCs ready so that they can rush out systems that will match the rock - bottom pricing that Tsunami will encourage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock bottom	figurative	dashes	DET NOUN VERB ADV ADP DET NOUN ADP PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN PART VERB ADJ PUNCT ADJ NOUN ADP ADJ NOUN ADJ ADP ADP PRON VERB VERB PART NOUN ADJ VERB VERB DET NOUN PUNCT NOUN NOUN ADJ PROPN VERB VERB	▁The ▁pressure ▁is ▁now ▁on ▁the ▁like s ▁of ▁He wl ett ▁- ▁Pack ard ▁Co ▁and ▁IBM ▁Corp ▁to ▁get ▁ultra ▁- ▁cheap ▁versions ▁of ▁their ▁RIS C s ▁ready ▁so ▁that ▁they ▁can ▁rush ▁out ▁systems ▁that ▁will ▁match ▁the ▁rock ▁- ▁bottom ▁pricing ▁that ▁T s un ami ▁will ▁encourage .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV ADP DET NOUN NOUN ADP PROPN PROPN PROPN PUNCT PROPN PROPN PROPN CCONJ PROPN PROPN PART VERB ADJ PUNCT ADJ NOUN ADP ADJ NOUN NOUN NOUN ADJ ADP ADP PRON VERB VERB PART NOUN ADJ VERB VERB DET NOUN PUNCT NOUN NOUN ADJ PROPN PROPN PROPN PROPN VERB VERB VERB
ENGLAND 'S dramatic demise as a footballing world power hit rock - bottom this morning when they were beaten 2–0 by the United States.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PROPN PART ADJ NOUN ADP DET VERB NOUN NOUN VERB NOUN PUNCT NOUN DET NOUN ADV PRON VERB VERB NUM ADP DET PROPN PROPN	▁EN G LAND ▁' S ▁dramatic ▁dem ise ▁as ▁a ▁f ootball ing ▁world ▁power ▁hit ▁rock ▁- ▁bottom ▁this ▁morning ▁when ▁they ▁were ▁beat en ▁2 – 0 ▁by ▁the ▁United ▁States .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PART PART ADJ NOUN NOUN ADP DET VERB VERB VERB NOUN NOUN VERB NOUN PUNCT NOUN DET NOUN ADV PRON VERB VERB VERB NUM NUM NUM ADP DET PROPN PROPN PROPN
So not only has the MPC kept interest rates at a rock - bottom 0.5 % since 2009, but policy has been loosened further by the Bank of England's so - called " quantitative easing " – that is, expanding the monetary base by the stroke of a pen in the hope of reinvigorating domestic credit markets.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	ADV ADV ADV VERB DET PROPN VERB NOUN NOUN ADP DET NOUN PUNCT NOUN NUM NOUN ADP NUM CCONJ NOUN VERB VERB VERB ADV ADP DET PROPN ADP PROPN ADV PUNCT VERB PUNCT ADJ VERB PUNCT PUNCT ADV ADV VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP VERB ADJ NOUN NOUN	▁So ▁not ▁only ▁has ▁the ▁M PC ▁kept ▁interest ▁rates ▁at ▁a ▁rock ▁- ▁bottom ▁0.5 ▁% ▁since ▁2009, ▁but ▁policy ▁has ▁been ▁loose ned ▁further ▁by ▁the ▁Bank ▁of ▁England ' s ▁so ▁- ▁called ▁" ▁quantitative ▁easing ▁" ▁ – ▁that ▁is , ▁expanding ▁the ▁monetary ▁base ▁by ▁the ▁stroke ▁of ▁a ▁pen ▁in ▁the ▁hope ▁of ▁rein vig or ating ▁domestic ▁credit ▁markets .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV VERB DET PROPN PROPN VERB NOUN NOUN ADP DET NOUN PUNCT NOUN NUM NOUN ADP NUM CCONJ NOUN VERB VERB VERB VERB ADV ADP DET PROPN ADP PROPN PROPN PROPN ADV PUNCT VERB PUNCT ADJ VERB PUNCT PUNCT PUNCT ADV ADV ADV VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP VERB VERB VERB VERB ADJ NOUN NOUN NOUN
